Age,"Height, cm",Weight,Place of birth,Gold,Silver,Bronze,Total,Sport,Sex_F,Sex_M
26,172.0,70.0,26,0,0,0,0,2,0,1
36,180.0,70.0,151,0,0,0,0,2,0,1
19,174.0,64.0,151,0,0,0,0,6,1,0
28,168.0,58.0,95,0,0,0,0,2,1,0
37,173.0,68.0,48,0,0,0,0,9,0,1
16,162.0,55.0,48,0,0,0,0,9,1,0
22,196.0,120.0,11,0,0,0,0,1,0,1
25,189.0,102.0,184,0,0,0,0,4,0,1
25,170.0,56.0,184,0,0,0,0,15,1,0
26,181.0,80.0,117,0,0,0,0,6,0,1
34,168.0,60.0,7,0,0,0,0,9,0,1
27,164.0,60.0,29,0,0,0,0,4,0,1
27,177.0,77.0,89,0,0,0,0,11,0,1
23,170.0,60.0,93,0,0,0,0,2,0,1
28,162.0,63.0,71,0,0,0,0,2,1,0
32,172.0,56.0,111,0,0,0,0,2,0,1
35,165.0,63.0,186,0,0,0,0,1,1,0
21,168.0,55.0,53,0,0,0,0,4,1,0
22,187.0,90.0,82,0,0,0,0,1,0,1
23,177.0,69.0,5,0,0,0,0,2,0,1
20,170.0,55.0,0,0,0,0,0,3,1,0
19,168.0,50.0,0,0,0,0,0,3,1,0
30,174.0,55.0,151,0,0,0,0,15,1,0
31,178.0,69.0,151,0,0,0,0,2,1,0
31,184.0,115.0,180,0,0,0,0,2,0,1
29,203.0,106.0,151,0,0,0,0,16,0,1
30,172.0,50.0,150,0,0,0,0,2,0,1
28,186.0,80.0,92,0,0,0,0,16,1,0
17,162.0,60.0,148,0,0,0,0,6,1,0
30,170.0,83.0,57,0,0,0,0,9,0,1
25,172.0,62.0,42,0,0,0,0,20,0,1
18,168.0,58.0,183,0,0,0,0,2,0,1
27,171.0,64.0,92,0,0,0,0,15,0,1
26,176.0,61.0,36,0,0,0,0,2,0,1
26,177.0,65.0,36,0,0,0,0,2,0,1
23,182.0,79.0,135,0,0,0,0,20,0,1
26,171.0,55.0,89,0,0,0,0,2,1,0
22,170.0,52.0,59,0,0,0,0,2,1,0
25,190.0,85.0,101,0,0,0,0,2,0,1
17,168.0,58.0,53,0,0,0,0,6,1,0
20,192.0,68.0,52,0,0,0,0,16,1,0
21,175.0,62.0,94,0,0,0,0,2,0,1
29,164.0,54.0,139,0,0,0,0,2,1,0
29,188.0,77.0,186,0,0,0,0,3,1,0
31,193.0,139.0,32,0,0,0,0,2,0,1
38,173.0,58.0,186,1,0,0,1,15,1,0
22,178.0,80.0,11,0,0,0,0,6,0,1
36,173.0,59.0,70,0,1,0,1,21,1,0
27,185.0,72.0,89,0,0,0,0,16,1,0
